date,price
2026-07-27 09:55:00,11.07
2026-07-27 15:40:02,11.11
2026-07-27 19:06:01,11.11
2026-07-27 19:06:10,11.11
2026-07-27 19:06:14,11.11
2026-07-28 08:14:13,11.11
2026-07-28 08:55:45,11.11
2026-07-28 08:56:03,11.11
2026-07-28 09:05:38,11.11
2026-07-28 09:44:36,11.15
2026-07-28 13:13:50,11.15
2026-07-28 15:40:02,11.2
2026-07-28 16:21:17,11.2
2026-07-28 16:21:33,11.2
2026-07-28 16:21:53,11.2
2026-07-28 16:22:18,11.2
2026-07-29 14:42:23,11.26
2026-07-29 15:04:32,11.28
2026-07-29 16:41:58,11.28
