date,open,high,low,close,volume
2022-06-08,2.53,2.54,2.46,2.5,28960592.0
2022-06-09,2.5,2.55,2.48,2.52,28671515.0
2022-06-10,2.49,2.56,2.47,2.54,28847158.0
2022-06-13,2.51,2.54,2.48,2.52,20066780.0
2022-06-14,2.49,2.52,2.45,2.51,20953381.0
2022-06-15,2.51,2.54,2.5,2.52,24882938.0
2022-06-16,2.51,2.64,2.51,2.57,65387322.0
2022-06-17,2.57,2.58,2.5,2.54,36853242.0
2022-06-20,2.56,2.58,2.53,2.55,23698187.0
2022-06-21,2.54,2.63,2.54,2.55,37529121.0
2022-06-22,2.57,2.57,2.53,2.53,20235276.0
2022-06-23,2.51,2.55,2.5,2.55,20578406.0
2022-06-24,2.55,2.62,2.52,2.57,35608793.0
2022-06-27,2.58,2.65,2.56,2.59,52299697.0
2022-06-28,2.6,2.65,2.58,2.63,40378871.0
2022-06-29,2.63,2.83,2.6,2.66,84024600.0
2022-06-30,2.64,2.68,2.61,2.63,44955956.0
2022-07-01,2.6,2.64,2.57,2.58,26921900.0
2022-07-04,2.59,2.69,2.59,2.68,46568338.0
2022-07-05,2.65,2.68,2.6,2.64,27807800.0
2022-07-06,2.62,2.63,2.54,2.56,26216166.0
2022-07-07,2.56,2.6,2.55,2.57,14293200.0
2022-07-08,2.57,2.59,2.55,2.57,13192720.0
2022-07-11,2.56,2.57,2.51,2.53,14554569.0
2022-07-12,2.53,2.56,2.48,2.49,20282700.0
2022-07-13,2.49,2.58,2.47,2.56,22625670.0
2022-07-14,2.54,2.55,2.49,2.5,20121977.0
2022-07-15,2.49,2.51,2.41,2.41,30757400.0
2022-07-18,2.4,2.51,2.4,2.49,28999306.0
2022-07-19,2.49,2.56,2.49,2.53,26047944.0
2022-07-20,2.54,2.6,2.52,2.59,28823180.0
2022-07-21,2.58,2.61,2.57,2.57,14569059.0
2022-07-22,2.57,2.6,2.51,2.54,18102400.0
2022-07-25,2.54,2.57,2.52,2.54,15561002.0
2022-07-26,2.55,2.57,2.51,2.56,16448808.0
2022-07-27,2.56,2.61,2.55,2.57,19288094.0
2022-07-28,2.58,2.59,2.56,2.56,14081666.0
2022-07-29,2.57,2.59,2.55,2.57,18143200.0
2022-08-01,2.59,2.69,2.57,2.61,44596141.0
2022-08-02,2.7,2.87,2.63,2.87,181292908.0
2022-08-03,2.92,3.14,2.83,2.97,347913459.0
2022-08-04,2.78,2.92,2.77,2.84,185977951.0
2022-08-05,2.81,2.82,2.68,2.72,143535263.0
2022-08-08,2.72,2.99,2.68,2.99,118676287.0
2022-08-09,2.92,3.04,2.87,2.89,177461057.0
2022-08-10,2.88,3.18,2.87,3.02,253908701.0
2022-08-11,3.0,3.08,2.95,3.02,158677676.0
2022-08-12,2.96,3.0,2.9,2.91,112943133.0
2022-08-15,2.89,3.02,2.83,2.95,120098126.0
2022-08-16,2.9,3.22,2.88,3.07,182485213.0
2022-08-17,3.05,3.11,2.98,3.01,112113165.0
2022-08-18,3.01,3.03,2.93,2.95,72633188.0
2022-08-19,2.97,3.02,2.92,2.92,74101245.0
2022-08-22,2.9,2.96,2.87,2.87,63933071.0
2022-08-23,2.71,2.81,2.66,2.77,93897336.0
2022-08-24,2.78,2.79,2.68,2.68,66784611.0
2022-08-25,2.69,2.81,2.65,2.72,64844361.0
2022-08-26,2.72,2.75,2.67,2.67,36652666.0
2022-08-29,2.63,2.88,2.63,2.8,88474804.0
2022-08-30,2.85,2.87,2.77,2.77,43048667.0
2022-08-31,2.8,2.9,2.78,2.78,67957480.0
2022-09-01,2.8,2.81,2.74,2.75,47738821.0
2022-09-02,2.75,2.87,2.74,2.84,57000459.0
2022-09-05,2.86,2.86,2.79,2.84,37630909.0
2022-09-06,2.83,2.86,2.81,2.85,38143636.0
2022-09-07,2.84,2.84,2.8,2.81,30633638.0
2022-09-08,2.81,2.83,2.76,2.78,29813333.0
2022-09-09,2.77,2.88,2.73,2.81,50876440.0
2022-09-13,2.83,2.9,2.81,2.87,60016640.0
2022-09-14,2.82,2.93,2.8,2.89,56696059.0
2022-09-15,2.89,2.9,2.73,2.75,61353321.0
2022-09-16,2.78,2.8,2.66,2.66,37256267.0
2022-09-19,2.66,2.69,2.6,2.6,30220981.0
2022-09-20,2.61,2.67,2.61,2.65,25945851.0
2022-09-21,2.64,2.78,2.58,2.73,64050919.0
2022-09-22,2.7,3.0,2.67,2.89,162787383.0
2022-09-23,2.89,2.93,2.77,2.78,106471025.0
2022-09-26,2.75,2.78,2.62,2.62,67316816.0
2022-09-27,2.61,2.66,2.56,2.66,48696688.0
2022-09-28,2.64,2.65,2.51,2.52,43795261.0
2022-09-29,2.54,2.58,2.48,2.49,40678964.0
2022-09-30,2.5,2.54,2.45,2.46,26900924.0
2022-10-10,2.47,2.55,2.43,2.45,29789150.0
2022-10-11,2.44,2.49,2.39,2.46,23403669.0
2022-10-12,2.45,2.62,2.45,2.61,60862804.0
2022-10-13,2.58,2.68,2.55,2.64,59005533.0
2022-10-14,2.63,2.9,2.62,2.81,207092483.0
2022-10-17,2.73,2.86,2.66,2.8,170070438.0
2022-10-18,2.83,2.84,2.76,2.8,51895532.0
2022-10-19,2.8,2.83,2.74,2.74,42153972.0
2022-10-20,2.76,2.79,2.72,2.74,45964777.0
2022-10-21,2.74,2.78,2.7,2.71,35529283.0
2022-10-24,2.72,2.72,2.64,2.66,48555500.0
2022-10-25,2.66,2.66,2.56,2.61,37399728.0
2022-10-26,2.63,2.67,2.61,2.64,37433202.0
2022-10-27,2.63,2.69,2.61,2.64,35112900.0
2022-10-28,2.61,2.62,2.5,2.51,44299295.0
2022-10-31,2.5,2.56,2.48,2.54,25342157.0
2022-11-01,2.55,2.59,2.53,2.59,33620071.0
2022-11-02,2.58,2.64,2.56,2.59,36026208.0
2022-11-03,2.56,2.62,2.56,2.6,35785626.0
2022-11-04,2.59,2.64,2.58,2.63,35908100.0
2022-11-07,2.63,2.67,2.62,2.66,34960986.0
2022-11-08,2.64,2.72,2.63,2.67,42229698.0
2022-11-09,2.67,2.71,2.65,2.66,25428523.0
2022-11-10,2.64,2.71,2.62,2.69,48608848.0
2022-11-11,2.73,2.81,2.7,2.78,80386282.0
2022-11-14,2.78,2.87,2.77,2.8,61950712.0
2022-11-15,2.83,2.91,2.8,2.89,72014422.0
2022-11-16,2.87,2.91,2.85,2.87,43465226.0
2022-11-17,2.85,2.89,2.82,2.87,43384563.0
2022-11-18,2.88,2.88,2.78,2.8,37826138.0
2022-11-21,2.79,2.79,2.73,2.74,29200244.0
2022-11-22,2.76,2.77,2.69,2.7,29781853.0
2022-11-23,2.73,2.74,2.65,2.68,32067671.0
2022-11-24,2.68,2.69,2.64,2.65,30595120.0
2022-11-25,2.66,2.7,2.64,2.7,30936000.0
2022-11-28,2.77,2.89,2.68,2.83,130989351.0
2022-11-29,2.79,2.85,2.78,2.81,89591963.0
2022-11-30,2.83,2.87,2.79,2.81,71217625.0
2022-12-01,2.81,2.86,2.77,2.8,51325654.0
2022-12-02,2.8,2.82,2.77,2.8,34890605.0
2022-12-05,2.8,2.84,2.79,2.84,41621692.0
2022-12-06,2.83,2.86,2.79,2.8,31310495.0
2022-12-07,2.79,2.88,2.78,2.85,48096190.0
2022-12-08,2.85,2.86,2.79,2.81,36161034.0
2022-12-09,2.8,2.85,2.75,2.76,44595129.0
2022-12-12,2.76,2.77,2.71,2.72,30973646.0
2022-12-13,2.72,2.82,2.71,2.8,43074732.0
2022-12-14,2.8,2.83,2.75,2.76,28014708.0
2022-12-15,2.74,2.78,2.72,2.74,28877320.0
2022-12-16,2.72,2.76,2.7,2.71,27243683.0
2022-12-19,2.71,2.72,2.61,2.63,37282632.0
2022-12-20,2.62,2.64,2.58,2.59,24309608.0
2022-12-21,2.6,2.65,2.56,2.61,27070746.0
2022-12-22,2.62,2.66,2.58,2.6,21950400.0
2022-12-23,2.59,2.78,2.56,2.65,65549488.0
2022-12-26,2.63,2.69,2.61,2.63,41483778.0
2022-12-27,2.61,2.66,2.61,2.66,30057122.0
2022-12-28,2.65,2.65,2.58,2.6,25432200.0
2022-12-29,2.58,2.6,2.56,2.57,17503500.0
2022-12-30,2.59,2.6,2.57,2.6,16620452.0
2023-01-03,2.59,2.66,2.57,2.64,27724578.0
2023-01-04,2.64,2.69,2.63,2.67,31752613.0
2023-01-05,2.68,2.68,2.63,2.64,22564683.0
2023-01-06,2.64,2.64,2.59,2.6,30599900.0
2023-01-09,2.59,2.62,2.58,2.6,18648202.0
2023-01-10,2.61,2.61,2.58,2.6,19696300.0
2023-01-11,2.6,2.66,2.58,2.59,39235470.0
2023-01-12,2.58,2.6,2.55,2.56,30137800.0
2023-01-13,2.56,2.64,2.54,2.62,39040720.0
2023-01-16,2.61,2.63,2.6,2.62,27477578.0
2023-01-17,2.63,2.63,2.59,2.59,14534100.0
2023-01-18,2.58,2.62,2.58,2.6,14804300.0
2023-01-19,2.61,2.61,2.58,2.61,17264502.0
2023-01-20,2.62,2.69,2.6,2.68,66435395.0
2023-01-30,2.67,2.73,2.66,2.71,67985900.0
2023-01-31,2.67,2.72,2.66,2.7,37191364.0
2023-02-01,2.72,2.74,2.69,2.73,37817501.0
2023-02-02,2.74,2.74,2.7,2.72,31582796.0
2023-02-03,2.72,2.78,2.71,2.73,42714800.0
2023-02-06,2.73,2.74,2.68,2.72,32820806.0
2023-02-07,2.72,2.84,2.7,2.82,91003710.0
2023-02-08,2.78,2.82,2.73,2.74,77450263.0
2023-02-09,2.72,2.75,2.7,2.74,38336234.0
2023-02-10,2.75,2.81,2.73,2.78,61585922.0
2023-02-13,2.77,2.79,2.74,2.76,34411128.0
2023-02-14,2.77,2.78,2.72,2.74,34161376.0
2023-02-15,2.74,2.75,2.73,2.74,24826000.0
2023-02-16,2.75,2.75,2.67,2.68,47779080.0
2023-02-17,2.68,2.7,2.65,2.67,28339436.0
2023-02-20,2.66,2.69,2.65,2.69,23829860.0
2023-02-21,2.68,2.71,2.67,2.69,24018100.0
2023-02-22,2.68,2.74,2.67,2.72,42407354.0
2023-02-23,2.73,2.78,2.71,2.73,52160300.0
2023-02-24,2.74,2.76,2.72,2.72,26479493.0
2023-02-27,2.72,2.73,2.66,2.68,33150897.0
2023-02-28,2.66,2.7,2.66,2.7,21325474.0
2023-03-01,2.7,2.71,2.69,2.71,24044800.0
