date,open,high,low,close,volume
2022-12-12,78.7,94.44,78.7,79.72,8022488.0
2022-12-13,73.73,75.0,71.75,71.75,2694563.0
2022-12-14,66.0,69.5,65.88,67.24,4918360.0
2022-12-15,66.01,73.0,64.6,68.9,5194535.0
2022-12-16,66.85,66.98,64.7,64.81,3101865.0
2022-12-19,63.8,63.82,60.5,60.52,2857174.0
2022-12-20,59.8,60.85,59.06,59.89,1492959.0
2022-12-21,60.45,60.5,57.22,57.51,1979393.0
2022-12-22,57.41,59.58,56.5,58.15,2463139.0
2022-12-23,57.5,57.98,55.22,55.22,1899820.0
2022-12-26,55.21,56.37,55.01,56.0,1295925.0
2022-12-27,55.66,59.68,55.66,57.4,2546449.0
2022-12-28,56.48,61.28,56.3,60.28,3694101.0
2022-12-29,61.36,66.05,60.61,62.7,4994377.0
2022-12-30,62.3,64.14,59.9,60.1,3099848.0
2023-01-03,60.03,63.35,59.88,63.32,2725772.0
2023-01-04,62.4,63.6,61.24,61.28,1699028.0
2023-01-05,62.07,67.41,60.49,67.41,3872174.0
2023-01-06,67.54,74.15,67.0,70.78,6710072.0
2023-01-09,71.4,77.86,71.4,77.86,5223706.0
2023-01-10,78.0,79.79,72.59,75.88,4289579.0
2023-01-11,75.88,78.71,74.0,76.62,3150723.0
2023-01-12,76.89,78.49,73.5,74.64,3051694.0
2023-01-13,75.0,76.4,73.84,75.63,2454799.0
2023-01-16,77.88,78.78,74.58,75.08,1903143.0
2023-01-17,75.2,81.39,74.79,79.57,3194322.0
2023-01-18,78.98,80.37,76.66,77.55,1572322.0
2023-01-19,78.0,85.31,77.5,85.31,2723049.0
2023-01-20,85.03,86.99,77.9,78.3,3418840.0
2023-01-30,79.99,80.9,76.5,77.11,2821751.0
2023-01-31,76.2,78.23,74.48,76.24,1895602.0
2023-02-01,76.83,83.86,74.53,83.86,2809696.0
2023-02-02,88.9,92.25,86.66,90.1,3761731.0
2023-02-03,90.43,99.01,90.02,96.11,3178939.0
2023-02-06,96.5,104.29,95.0,102.3,3305524.0
2023-02-07,108.18,111.37,102.3,110.28,2684908.0
2023-02-08,111.0,111.69,105.5,108.74,2469242.0
