date,open,high,low,close,volume,ma5,ma10,ma20,ma60,ma5_ratio,ma10_ratio,ma20_ratio,ma60_ratio,bollinger_mid,bollinger_upper,bollinger_lower,bollinger_pct_b,bollinger_bandwidth,return_1d,return_5d,return_10d,return_20d,volatility_5d,volatility_10d,volatility_20d,rsi_14,macd,macd_signal,macd_histogram,obv,mfi_14,atr_14,volume_ratio_20d,price_position_20d,price_position_60d,future_return,return,volatility,rsi,volume_change,csi300_return_1d,csi300_return_5d,csi300_volatility_20d,market_breadth,open_norm,high_norm,low_norm,close_norm,volume_norm,ma5_norm,ma10_norm,ma20_norm,ma60_norm,ma5_ratio_norm,ma10_ratio_norm,ma20_ratio_norm,ma60_ratio_norm,bollinger_mid_norm,bollinger_upper_norm,bollinger_lower_norm,bollinger_pct_b_norm,bollinger_bandwidth_norm,return_1d_norm,return_5d_norm,return_10d_norm,return_20d_norm,volatility_5d_norm,volatility_10d_norm,volatility_20d_norm,rsi_14_norm,macd_norm,macd_signal_norm,macd_histogram_norm,obv_norm,mfi_14_norm,atr_14_norm,volume_ratio_20d_norm,price_position_20d_norm,price_position_60d_norm,return_norm,volatility_norm,rsi_norm,volume_change_norm,csi300_return_1d_norm,csi300_return_5d_norm,csi300_volatility_20d_norm,market_breadth_norm,sector,sector_momentum_5d,sector_momentum_20d,sector_breadth,sector_vol_flow,sector_relative_strength,future_return_rank,future_return_10d,future_return_20d,cs_rank_return_5d,cs_rank_return_20d,cs_rank_volatility,cs_rank_rsi,cs_rank_volume_ratio_20d,cs_rank_ma20_ratio,cs_rank_max_ret_5d,cs_rank_reversal_1d,cs_rank_amihud_illiq,cs_rank_idio_vol_20d,future_return_rank_5d,future_return_rank_10d,future_return_rank_20d
2022-05-27,9.0,10.12,8.85,10.12,29058177.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0247035573122529,,,,,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.4411764705882353,0.0029644268774704496,0.12747035573122534,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4411764705882353,0.2647058823529412,0.7941176470588235
2022-05-30,11.13,11.13,10.56,11.13,34774771.0,,,,,,,,,,,,,,0.0998023715415021,,,,,,,,0.0226602564102567,0.0125890313390315,0.0100712250712252,34774771.0,,,,,,-0.1473495058400719,0.0998023715415021,,,0.1967292717640201,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.048780487804878,-0.1132075471698114,-0.008086253369272378,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.04878048780487805,0.0975609756097561,0.17073170731707318
2022-05-31,10.26,11.66,10.1,10.11,48129920.0,,,,,,,,,,,,,,-0.0916442048517521,,,,,,,,-0.0027564745372252,0.0062998895864672,-0.0090563641236925,-13355149.0,,,,,,0.032640949554896,-0.0916442048517521,,,0.3840470725170268,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.6086956521739131,-0.05044510385756673,0.054401582591493636,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6086956521739131,0.13043478260869565,0.6956521739130435
2022-06-01,9.1,9.87,9.1,9.42,32523473.0,,,,,,,,,,,,,,-0.0682492581602373,,,,,,,,-0.0391611350329856,-0.0091001865041333,-0.0300609485288523,-45878622.0,,,,,,0.09447983014862,-0.0682492581602373,,,-0.3242566578128532,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.84,0.0849256900212314,0.11040339702760105,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.84,0.86,0.84
2022-06-02,9.39,10.32,9.11,9.92,28510268.0,10.14,,,,-0.0216962524654833,,,,,,,,,0.0530785562632696,,,,,,,,-0.0382222918380694,-0.0177633544402161,-0.0204589373978532,-17368354.0,,,,,,0.0423387096774192,0.0530785562632696,,,-0.1233941098479858,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.6538461538461539,0.13306451612903225,0.07963709677419373,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6538461538461539,0.9423076923076923,0.7692307692307693
2022-06-06,9.77,10.91,9.62,10.37,29813587.0,10.19,,,,0.017664376840039,,,,,,,,,0.0453629032258062,0.0247035573122529,,,0.0830633957683458,,,,-0.0176972042561409,-0.0177454240624527,4.82198063117556e-05,12445233.0,,,,,,-0.0212150433944068,0.0453629032258062,,,0.0457140213483788,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.4328358208955223,0.10318225650916113,0.07135969141755072,0.45454545454545453,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.43283582089552236,0.9402985074626866,0.7313432835820896
2022-06-07,10.01,10.11,9.4,9.49,23547107.0,9.862,,,,-0.0377205435003041,,,,,,,,,-0.0848601735776276,-0.1473495058400719,,,0.0722003221468655,,,,-0.044094920367792,-0.0244137786367376,-0.0196811417310543,-11101874.0,,,,,,0.0400421496311906,-0.0848601735776276,,,-0.2101887303932935,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.7857142857142857,0.3256059009483667,0.11380400421496306,0.02564102564102564,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7857142857142857,0.9857142857142858,0.8
2022-06-08,9.55,10.44,9.5,10.44,14544710.0,9.928,,,,0.0515713134568893,,,,,,,,,0.1001053740779767,0.032640949554896,,,0.0811518805164257,,,,-0.0159045935482282,-0.0223688614447078,0.0064642678964795,3442836.0,,,,,,-0.0804597701149425,0.1001053740779767,,,-0.3823143539459008,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.131578947368421,0.12260536398467448,-0.07567049808429116,0.6136363636363636,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.13157894736842105,0.9473684210526315,0.18421052631578946
2022-06-09,10.44,11.1,10.14,10.31,32673846.0,10.106,,,,0.0201860281021175,,,,,,,,,-0.0124521072796933,0.09447983014862,,,0.0710683282943619,,,,-0.0025911003375025,-0.0178001005109645,0.015209000173462,-29231010.0,,,,,,-0.0087293889427739,-0.0124521072796933,,,1.2464419022448712,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.3478260869565217,0.15518913676042678,-0.06886517943743942,0.8333333333333334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.34782608695652173,0.967391304347826,0.18478260869565216
2022-06-10,9.9,10.52,9.71,10.34,18013554.0,10.19,10.165,,,0.014720314033366,0.0172159370388587,,,,,,,,0.0029097963142579,0.0423387096774192,,,0.068778824539661,,,,0.0084361124377849,-0.0119216658003731,0.0203577782381581,-11217456.0,,,,,,0.0870406189555126,0.0029097963142579,,,-0.4486858388204437,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.9322033898305084,0.11605415860735002,-0.05705996131528046,0.6470588235294118,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9322033898305084,0.940677966101695,0.1864406779661017
