date,open,high,low,close,volume,return,ma5,ma10,ma20,ma60,volume_change,volatility,rsi,macd,sector,sector_momentum_5d,sector_momentum_20d,sector_breadth,sector_vol_flow,sector_relative_strength
2026-05-11,40.15,40.17,39.37,39.74,1604726.0,-0.0092246322612814,39.58,40.506,41.87,42.47483333333333,-0.2609016052918348,0.0314819882912813,35.25881470367591,-0.7401722491125753,其他,0,0,0.5,1.0,0
2026-05-12,39.66,39.68,38.79,39.05,1593860.0,-0.0173628585807751,39.416,40.032,41.7945,42.1635,-0.0067712494220196,0.0317016563193865,22.52701579384872,-0.8104860213039089,其他,0,0,0.5,1.0,0
2026-05-13,39.07,39.18,38.82,39.07,856341.0,0.0005121638924456,39.396,39.482000000000006,41.7045,41.95433333333334,-0.4627250825041095,0.031634568888874,22.807017543859672,-0.8547434095301227,其他,0,0,0.5,1.0,0
2026-05-14,39.15,39.16,37.95,38.07,1369322.0,-0.0255950857435371,39.208,39.278000000000006,41.523,41.73883333333333,0.599038233600867,0.0316142733901374,22.213181448331994,-0.9594494155816592,其他,0,0,0.5,1.0,0
2026-05-15,38.08,38.1,36.96,37.14,1771851.0,-0.0244286840031521,38.614,39.088,41.308,41.556333333333335,0.2939622674579099,0.0319403289283312,21.822541966426883,-1.1047381734216657,其他,0,0,0.5,1.0,0
2026-05-18,37.48,37.48,36.18,36.39,1644330.0,-0.0201938610662358,37.944,38.762,40.93900000000001,41.38583333333334,-0.0719704986480239,0.0286346329522684,21.228615863141545,-1.2658078478157293,其他,0,0,0.5,1.0,0
2026-05-19,36.44,36.85,36.21,36.69,901797.0,0.0082440230832645,37.472,38.444,40.59,41.2385,-0.4515717647917389,0.0288563969557495,18.174474959612283,-1.3536452525653146,其他,0,0,0.5,1.0,0
2026-05-20,36.68,36.68,35.49,35.8,1529328.0,-0.0242572908149359,36.818,38.107,40.097,41.0945,0.6958672517207309,0.0260925281078922,25.539160045402937,-1.4780347263427345,其他,0,0,0.5,1.0,0
2026-05-21,35.89,36.49,35.15,35.19,1412300.0,-0.0170391061452513,36.242,37.725,39.5775,40.949666666666666,-0.0765224987707019,0.0260079389862167,26.94610778443113,-1.607308134842512,其他,0,0,0.5,1.0,0
2026-05-22,35.5,35.96,35.02,35.79,1133570.0,0.0170502983802216,35.971999999999994,37.29299999999999,39.122,40.8205,-0.1973589180768958,0.0268221933380214,26.85851318944846,-1.6424105701646496,其他,0,0,0.5,1.0,0
2026-05-25,35.89,35.92,34.26,34.35,1816928.0,-0.0402347024308465,35.564,36.754,38.63,40.65466666666667,0.6028370546150656,0.0276013484461832,21.12970711297075,-1.766067343477829,其他,0,0,0.5,1.0,0
2026-05-26,34.31,34.43,33.45,33.72,1073844.0,-0.0183406113537119,34.97,36.221,38.1265,40.4745,-0.4089782313883654,0.0276248040537269,21.2855637513172,-1.8930797175154692,其他,0,0,0.5,1.0,0
2026-05-27,33.47,33.73,32.43,32.73,1299032.0,-0.0293594306049822,34.355999999999995,35.587,37.5345,40.2805,0.2097027128707707,0.0268953503930529,19.573643410852725,-2.049991637715735,其他,0,0,0.5,1.0,0
2026-05-28,32.6,33.24,32.39,33.02,921426.0,0.0088603727467158,33.922,35.082,37.18,40.09816666666666,-0.2906826005825876,0.0184607861775427,12.723449001051591,-2.126432696132284,其他,0,0,0.5,1.0,0
2026-05-29,33.23,33.28,32.56,32.68,837406.0,-0.010296789824349,33.3,34.636,36.862,39.9405,-0.0911847505931023,0.0180174084655784,12.763713080168827,-2.1892120701494377,其他,0,0,0.5,1.0,0
