date,open,high,low,close,volume,ma5,ma10,ma20,ma60,ma5_ratio,ma10_ratio,ma20_ratio,ma60_ratio,bollinger_mid,bollinger_upper,bollinger_lower,bollinger_pct_b,bollinger_bandwidth,return_1d,return_5d,return_10d,return_20d,volatility_5d,volatility_10d,volatility_20d,rsi_14,macd,macd_signal,macd_histogram,obv,mfi_14,atr_14,volume_ratio_20d,price_position_20d,price_position_60d,future_return,return,volatility,rsi,volume_change,csi300_return_1d,csi300_return_5d,csi300_volatility_20d,market_breadth,open_norm,high_norm,low_norm,close_norm,volume_norm,ma5_norm,ma10_norm,ma20_norm,ma60_norm,ma5_ratio_norm,ma10_ratio_norm,ma20_ratio_norm,ma60_ratio_norm,bollinger_mid_norm,bollinger_upper_norm,bollinger_lower_norm,bollinger_pct_b_norm,bollinger_bandwidth_norm,return_1d_norm,return_5d_norm,return_10d_norm,return_20d_norm,volatility_5d_norm,volatility_10d_norm,volatility_20d_norm,rsi_14_norm,macd_norm,macd_signal_norm,macd_histogram_norm,obv_norm,mfi_14_norm,atr_14_norm,volume_ratio_20d_norm,price_position_20d_norm,price_position_60d_norm,return_norm,volatility_norm,rsi_norm,volume_change_norm,csi300_return_1d_norm,csi300_return_5d_norm,csi300_volatility_20d_norm,market_breadth_norm,sector,sector_momentum_5d,sector_momentum_20d,sector_breadth,sector_vol_flow,sector_relative_strength,future_return_rank,future_return_10d,future_return_20d,cs_rank_return_5d,cs_rank_return_20d,cs_rank_volatility,cs_rank_rsi,cs_rank_volume_ratio_20d,cs_rank_ma20_ratio,cs_rank_max_ret_5d,cs_rank_reversal_1d,cs_rank_amihud_illiq,cs_rank_idio_vol_20d,future_return_rank_5d,future_return_rank_10d,future_return_rank_20d
2022-06-13,4.79,4.79,4.71,4.75,9982557.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0189473684210526,,,,,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.5918367346938775,0.0378947368421052,0.05263157894736836,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5918367346938775,0.6643990929705216,0.7120181405895691
2022-06-14,4.75,4.82,4.63,4.82,11217226.0,,,,,,,,,,,,,,0.0147368421052631,,,,,,,,0.0015705128205123,0.0008725071225068,0.0006980056980054,11217226.0,,,,,,-0.0020746887966806,0.0147368421052631,,,0.1236826396283037,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.4489795918367347,0.08921161825726132,0.03734439834024883,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4489795918367347,0.8299319727891157,0.7210884353741497
2022-06-15,4.79,4.88,4.77,4.79,11504109.0,,,,,,,,,,,,,,-0.0062240663900415,,,,,,,,0.0010708468545583,0.0009537938979378,0.0001170529566205,-286883.0,,,,,,-0.0146137787056368,-0.0062240663900415,,,0.0255752179727857,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.5034013605442177,0.06889352818371619,0.06680584551148239,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5034013605442177,0.8231292517006803,0.7664399092970522
2022-06-16,4.78,4.84,4.77,4.81,8596235.0,,,,,,,,,,,,,,0.0041753653444676,,,,,,,,0.001539437622684,0.0011521826935835,0.0003872549291004,8309352.0,,,,,,0.0,0.0041753653444676,,,-0.2527682934853973,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.5090702947845805,0.05197505197505192,0.047817047817047875,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5090702947845805,0.7233560090702947,0.7244897959183674
2022-06-17,4.78,4.83,4.7,4.8,9340994.0,4.794,,,,0.0012515644555695,,,,,,,,,-0.002079002079002,,,,,,,,0.001363730785858,0.0012151134682963,0.0001486173175617,-1031642.0,,,,,,0.00625,-0.002079002079002,,,0.0866378129495064,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.5079365079365079,0.06875000000000009,0.039583333333333526,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5079365079365079,0.8027210884353742,0.7732426303854876
2022-06-20,4.84,4.88,4.8,4.84,10215353.0,4.811999999999999,,,,0.0058187863674148,,,,,,,,,0.0083333333333333,0.0189473684210526,,,0.0082968433159596,,,,0.0029428969639466,0.0016834388585216,0.001259458105425,9183711.0,,,,,,0.0185950413223139,0.0083333333333333,,,0.0936044921985819,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.6787330316742082,0.06404958677685957,0.06818181818181812,0.5895691609977324,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6787330316742082,0.8054298642533937,0.8122171945701357
2022-06-21,4.88,4.88,4.77,4.81,8723305.0,4.81,,,,0.0,,,,,,,,,-0.006198347107438,-0.0020746887966806,,,0.0064723391253277,,,,0.0025458906883271,0.0019017024085242,0.0006441882798028,460406.0,,,,,,0.0914760914760914,-0.006198347107438,,,-0.1460593676987961,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.8778280542986425,0.058212058212058215,0.07276507276507282,0.4467120181405896,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8778280542986425,0.7963800904977375,0.7850678733031674
2022-06-22,4.82,4.82,4.72,4.72,7360757.0,4.796,,,,-0.0158465387823186,,,,,,,,,-0.0187110187110186,-0.0146137787056368,,,0.010461715129162,,,,-0.0020416315175317,0.000954045111682,-0.0029956766292138,-6900351.0,,,,,,0.0847457627118644,-0.0187110187110186,,,-0.1561963040384349,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.8886363636363637,0.06779661016949157,0.07627118644067798,0.502283105022831,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8886363636363637,0.8272727272727273,0.7363636363636363
2022-06-23,4.71,4.81,4.7,4.81,7465477.0,4.796,,,,0.0029190992493743,,,,,,,,,0.0190677966101695,0.0,,,0.0143686743927786,,,,-0.0007221124847021,0.0005668443914565,-0.0012889568761587,565126.0,,,,,,0.0519750519750519,0.0190677966101695,,,0.0142267975970407,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.830316742081448,0.04573804573804585,0.06652806652806653,0.5148063781321185,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.830316742081448,0.7873303167420814,0.7873303167420814
2022-06-24,4.82,4.85,4.77,4.83,8333909.0,4.802,4.798,,,0.0058309037900876,0.0066694456023344,,,,,,,,0.0041580041580042,0.00625,,,0.0144047922148667,,,,0.0012546117126142,0.0007209441962341,0.0005336675163801,8899035.0,,,,,,0.0621118012422359,0.0041580041580042,,,0.116326391468355,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.8761261261261262,0.04761904761904745,0.09523809523809512,0.5045454545454545,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8761261261261262,0.8175675675675675,0.8558558558558559
