date,open,high,low,close,volume,ma5,ma10,ma20,ma60,ma5_ratio,ma10_ratio,ma20_ratio,ma60_ratio,bollinger_mid,bollinger_upper,bollinger_lower,bollinger_pct_b,bollinger_bandwidth,return_1d,return_5d,return_10d,return_20d,volatility_5d,volatility_10d,volatility_20d,rsi_14,macd,macd_signal,macd_histogram,obv,mfi_14,atr_14,volume_ratio_20d,price_position_20d,price_position_60d,future_return,return,volatility,rsi,volume_change,csi300_return_1d,csi300_return_5d,csi300_volatility_20d,market_breadth,open_norm,high_norm,low_norm,close_norm,volume_norm,ma5_norm,ma10_norm,ma20_norm,ma60_norm,ma5_ratio_norm,ma10_ratio_norm,ma20_ratio_norm,ma60_ratio_norm,bollinger_mid_norm,bollinger_upper_norm,bollinger_lower_norm,bollinger_pct_b_norm,bollinger_bandwidth_norm,return_1d_norm,return_5d_norm,return_10d_norm,return_20d_norm,volatility_5d_norm,volatility_10d_norm,volatility_20d_norm,rsi_14_norm,macd_norm,macd_signal_norm,macd_histogram_norm,obv_norm,mfi_14_norm,atr_14_norm,volume_ratio_20d_norm,price_position_20d_norm,price_position_60d_norm,return_norm,volatility_norm,rsi_norm,volume_change_norm,csi300_return_1d_norm,csi300_return_5d_norm,csi300_volatility_20d_norm,market_breadth_norm,sector,sector_momentum_5d,sector_momentum_20d,sector_breadth,sector_vol_flow,sector_relative_strength,future_return_rank,future_return_10d,future_return_20d,cs_rank_return_5d,cs_rank_return_20d,cs_rank_volatility,cs_rank_rsi,cs_rank_volume_ratio_20d,cs_rank_ma20_ratio,cs_rank_max_ret_5d,cs_rank_reversal_1d,cs_rank_amihud_illiq,cs_rank_idio_vol_20d,future_return_rank_5d,future_return_rank_10d,future_return_rank_20d
2022-06-09,3.13,3.15,3.09,3.09,7179725.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0032362459546926,,,,,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.4782608695652174,0.009708737864077666,0.04207119741100329,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4782608695652174,0.5760869565217391,0.6521739130434783
2022-06-10,3.08,3.13,3.06,3.11,5658785.0,,,,,,,,,,,,,,0.006472491909385,,,,,,,,0.0004487179487178,0.0002492877492876,0.0001994301994301,5658785.0,,,,,,-0.0064308681672026,0.006472491909385,,,-0.2118381971454338,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.5084745762711864,0.012861736334405238,0.045016077170418,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5084745762711864,0.635593220338983,0.711864406779661
2022-06-13,3.11,3.12,3.08,3.1,6055601.0,,,,,,,,,,,,,,-0.0032154340836012,,,,,,,,0.0002616563296404,0.0002543568395962,7.29949004427908e-06,-396816.0,,,,,,0.0096774193548385,-0.0032154340836012,,,0.0701238870181497,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.4761904761904761,0.029032258064516148,0.07741935483870965,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.47619047619047616,0.6054421768707483,0.7959183673469388
2022-06-14,3.08,3.1,3.0,3.1,9711022.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0001701645058616,0.0002258364013392,-5.567189547762069e-05,-396816.0,,,,,,0.0032258064516128,0.0,,,0.6036429744958427,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.4897959183673469,0.04516129032258065,0.048387096774193505,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4897959183673469,0.6349206349206349,0.764172335600907
2022-06-15,3.08,3.11,3.06,3.09,16671979.0,3.098,,,,-0.0025823111684958,,,,,,,,,-0.0032258064516129,,,,,,,,-0.0002810561880957,7.504731595282109e-05,-0.0003561035040485,-17068795.0,,,,,,0.0097087378640776,-0.0032258064516129,,,0.7168099299950097,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.7222222222222222,0.03883495145631066,0.05177993527508096,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7222222222222222,0.7006802721088435,0.7256235827664399
2022-06-16,3.08,3.12,3.07,3.1,10596509.0,3.1,,,,0.0,,,,,,,,,0.0032362459546926,0.0032362459546926,,,0.0042123620228663,,,,-0.0001194122407994,2.233796433074363e-05,-0.0001417502051302,-6472286.0,,,,,,0.0064516129032257,0.0032362459546926,,,-0.3644120473040423,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.5941043083900227,0.029032258064516148,0.041935483870967794,0.4673913043478261,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5941043083900227,0.6303854875283447,0.7029478458049887
2022-06-17,3.1,3.1,3.04,3.09,8567201.0,3.096,,,,-0.0019379844961241,,,,,,,,,-0.0032258064516129,-0.0064308681672026,,,0.0028875992783281,,,,-0.000466708419696,-0.0001014266288961,-0.0003652817907999,-15039487.0,,,,,,0.0194174757281553,-0.0032258064516129,,,-0.1915072218595765,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.6575963718820862,0.032362459546925626,0.003236245954692629,0.5042735042735043,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6575963718820862,0.6417233560090703,0.673469387755102
2022-06-20,3.1,3.13,3.08,3.13,10584605.0,3.1019999999999994,,,,0.0090264345583495,,,,,,,,,0.0129449838187702,0.0096774193548385,,,0.0067067961722737,,,,0.0012103152245348,0.0002138096057943,0.0009965056187404,-4454882.0,,,,,,0.0191693290734824,0.0129449838187702,,,0.2354799426323719,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.6877828054298643,0.06709265175718859,0.006389776357827559,0.47392290249433106,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6877828054298643,0.8122171945701357,0.6085972850678733
2022-06-21,3.15,3.15,3.09,3.11,8886873.0,3.104,,,,0.0019329896907216,,,,,,,,,-0.0063897763578274,0.0032258064516128,,,0.007704801805488,,,,0.0013609343006422,0.0004788011012191,0.000882133199423,-13341755.0,,,,,,0.0418006430868167,-0.0063897763578274,,,-0.1603963492260693,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.7171945701357466,0.05787781350482324,0.019292604501607746,0.4875283446712018,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7171945701357466,0.7895927601809954,0.5950226244343891
2022-06-22,3.11,3.15,3.09,3.12,9484187.0,3.11,3.104,,,0.0032154340836012,0.0051546391752577,,,,,,,,0.0032154340836012,0.0097087378640776,,,0.0074243866778299,,,,0.0019630728232651,0.0008113641288126,0.0011517086944524,-3857568.0,,,,,,0.0288461538461537,0.0032154340836012,,,0.067213068083678,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.6522727272727272,0.03525641025641013,0.019230769230769162,0.7214611872146118,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6522727272727272,0.7,0.49772727272727274
