date,open,high,low,close,volume,return,ma5,ma10,ma20,ma60,volume_change,volatility,rsi,macd,sector,sector_momentum_5d,sector_momentum_20d,sector_breadth,sector_vol_flow,sector_relative_strength
2026-06-29,28.49,29.75,28.28,29.22,32241315.0,0.0198952879581151,29.52,31.016,27.8435,25.563,-0.0244818739544016,0.0551776234293726,64.57199406234537,1.3248985392471475,其他,0,0,0.5,1.0,0
2026-06-30,28.67,28.83,27.5,27.78,30922416.0,-0.0492813141683777,28.99,30.742999999999995,27.987,25.564666666666664,-0.0409071094029508,0.0565404533603872,60.52875695732839,1.099009611701181,其他,0,0,0.5,1.0,0
2026-07-01,27.91,30.35,27.85,29.0,35485565.0,0.0439164866810655,28.860000000000003,30.287,28.18,25.63583333333333,0.147567673884214,0.0571427651864816,63.50689808633734,1.0068287184762674,其他,0,0,0.5,1.0,0
2026-07-02,28.48,29.73,27.72,28.8,34014538.0,-0.0068965517241379,28.69,29.895,28.3525,25.70283333333333,-0.0414542363916144,0.0572490941647784,58.78312070657508,0.9071789734313748,其他,0,0,0.5,1.0,0
2026-07-03,29.03,29.49,27.53,27.83,25588637.0,-0.0336805555555556,28.526,29.482000000000006,28.509000000000004,25.795666666666666,-0.2477146977565887,0.0575247395019912,50.23898035050451,0.741388672060804,其他,0,0,0.5,1.0,0
2026-07-06,27.48,28.3,26.31,26.4,22076246.0,-0.0513833992094862,27.962,28.741,28.621500000000005,25.8495,-0.1372637002900936,0.0586752415863297,38.25042881646655,0.4889730379720554,其他,0,0,0.5,1.0,0
2026-07-07,26.54,26.54,25.78,26.11,12528771.0,-0.0109848484848484,27.628,28.309000000000005,28.7605,25.88266666666667,-0.4324772880316698,0.0580723634566005,24.71147318397827,0.2625052558458662,其他,0,0,0.5,1.0,0
2026-07-08,26.11,26.32,25.11,25.54,12043611.0,-0.0218307162006894,26.936,27.898,28.8755,25.915333333333333,-0.0387236705020788,0.0583909169610037,25.172890733056704,0.0366116344553084,其他,0,0,0.5,1.0,0
2026-07-09,25.47,25.9,24.4,25.83,16889497.0,0.0113547376664056,26.342,27.516,29.02050000000001,25.969,0.4023615508670946,0.0582142356505102,28.091493924231585,-0.1176538710154169,其他,0,0,0.5,1.0,0
2026-07-10,25.81,26.27,25.16,25.16,15857359.0,-0.0259388308168795,25.808,27.167,29.0175,26.0015,-0.0611112338040618,0.0543848797837097,16.237314597970325,-0.2906236673698004,其他,0,0,0.5,1.0,0
2026-07-13,25.02,25.08,24.11,24.33,13346047.0,-0.0329888712241653,25.394,26.678,28.847,26.025166666666667,-0.158368868359479,0.0496050452032091,20.272904483430796,-0.4890401896717264,其他,0,0,0.5,1.0,0
2026-07-14,24.05,24.8,23.7,24.67,13099696.0,0.0139745170571312,25.106,26.367,28.555,26.040166666666668,-0.0184587241450595,0.0433364764886619,24.643584521384952,-0.6117991152396556,其他,0,0,0.5,1.0,0
2026-07-15,24.81,24.88,23.72,23.96,10846473.0,-0.0287798946088366,24.79,25.863,28.075,26.049,-0.1720057473089451,0.0349410973392732,22.98195631528965,-0.7576438675764692,其他,0,0,0.5,1.0,0
2026-07-16,23.79,24.49,23.78,23.93,10327347.0,-0.0012520868113522,24.410000000000004,25.376,27.6355,26.0625,-0.0478612725076621,0.0350262691441703,25.31380753138076,-0.8656687434235302,其他,0,0,0.5,1.0,0
2026-07-17,23.92,24.76,22.96,24.06,17481756.0,0.0054325114918512,24.19,24.999,27.2405,26.06683333333333,0.6927634948259218,0.0352543532288336,21.71052631578948,-0.9300680764270836,其他,0,0,0.5,1.0,0
2026-07-20,25.0,26.15,24.1,24.95,24674804.0,0.0369908561928511,24.314,24.854,26.797500000000003,26.07166666666667,0.4114602674925791,0.0332822482198893,33.488914819136525,-0.8989271769121814,其他,0,0,0.5,1.0,0
2026-07-21,24.98,24.99,22.5,24.62,27358848.0,-0.0132264529058115,24.304,24.705,26.507,26.07783333333333,0.1087767100399257,0.0265304626958992,21.48437500000003,-0.8906096382391127,其他,0,0,0.5,1.0,0
2026-07-22,24.2,26.28,24.1,25.56,31984284.0,0.0381803411860275,24.624,24.707,26.3025,26.121166666666667,0.1690654518786756,0.0283517169265024,30.760095011876476,-0.7989578955381162,其他,0,0,0.5,1.0,0
2026-07-23,25.08,26.21,24.73,25.9,25417785.0,0.013302034428795,25.018,24.714,26.115,26.17533333333333,-0.2053039236394974,0.0286789879857474,37.61232349165597,-0.6909235342135354,其他,0,0,0.5,1.0,0
2026-07-24,25.0,25.04,23.64,23.66,20520792.0,-0.0864864864864863,24.938,24.564,25.8655,26.1985,-0.19266010000478,0.0333725331428905,34.06976744186048,-0.7770969145522422,其他,0,0,0.5,1.0,0
