date,open,high,low,close,volume,ma5,ma10,ma20,ma60,ma5_ratio,ma10_ratio,ma20_ratio,ma60_ratio,bollinger_mid,bollinger_upper,bollinger_lower,bollinger_pct_b,bollinger_bandwidth,return_1d,return_5d,return_10d,return_20d,volatility_5d,volatility_10d,volatility_20d,rsi_14,macd,macd_signal,macd_histogram,obv,mfi_14,atr_14,volume_ratio_20d,price_position_20d,price_position_60d,future_return,return,volatility,rsi,volume_change,csi300_return_1d,csi300_return_5d,csi300_volatility_20d,market_breadth,open_norm,high_norm,low_norm,close_norm,volume_norm,ma5_norm,ma10_norm,ma20_norm,ma60_norm,ma5_ratio_norm,ma10_ratio_norm,ma20_ratio_norm,ma60_ratio_norm,bollinger_mid_norm,bollinger_upper_norm,bollinger_lower_norm,bollinger_pct_b_norm,bollinger_bandwidth_norm,return_1d_norm,return_5d_norm,return_10d_norm,return_20d_norm,volatility_5d_norm,volatility_10d_norm,volatility_20d_norm,rsi_14_norm,macd_norm,macd_signal_norm,macd_histogram_norm,obv_norm,mfi_14_norm,atr_14_norm,volume_ratio_20d_norm,price_position_20d_norm,price_position_60d_norm,return_norm,volatility_norm,rsi_norm,volume_change_norm,csi300_return_1d_norm,csi300_return_5d_norm,csi300_volatility_20d_norm,market_breadth_norm,sector,sector_momentum_5d,sector_momentum_20d,sector_breadth,sector_vol_flow,sector_relative_strength,future_return_rank,future_return_10d,future_return_20d,cs_rank_return_5d,cs_rank_return_20d,cs_rank_volatility,cs_rank_rsi,cs_rank_volume_ratio_20d,cs_rank_ma20_ratio,cs_rank_max_ret_5d,cs_rank_reversal_1d,cs_rank_amihud_illiq,cs_rank_idio_vol_20d,future_return_rank_5d,future_return_rank_10d,future_return_rank_20d
2022-08-08,26.05,31.26,26.05,31.26,680389.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,0.3176583493282148,,,,,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.9933481152993348,0.08829174664107486,0.020473448496481028,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9933481152993349,0.8337028824833703,0.5698447893569845
2022-08-09,34.39,34.39,34.39,34.39,143105.0,,,,,,,,,,,,,,0.100127959053103,,,,,,,,0.0702243589743574,0.0390135327635318,0.0312108262108255,143105.0,,,,,,0.0971212561791217,0.100127959053103,,,-0.7896717906962046,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.9290465631929048,0.00407095085780762,-0.05524861878453036,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9290465631929047,0.31929046563192903,0.2017738359201774
2022-08-10,37.83,37.83,37.83,37.83,102226.0,,,,,,,,,,,,,,0.1000290782204127,,,,,,,,0.1961539661057827,0.1034153497070773,0.0927386163987054,245331.0,,,,,,0.0050224689399949,0.1000290782204127,,,-0.285657384438,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.2177777777777777,-0.12926249008723234,-0.16547713454929946,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.21777777777777776,0.028888888888888888,0.022222222222222223
2022-08-11,41.61,41.61,41.61,41.61,370099.0,,,,,,,,,,,,,,0.0999206978588422,,,,,,,,0.3850974446803903,0.1988361135869258,0.1862613310934644,615430.0,,,,,,-0.1295361691900985,0.0999206978588422,,,2.6203998982646293,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.0044444444444444,-0.2311944244172074,-0.24489305455419363,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0044444444444444444,0.0044444444444444444,0.008888888888888889
2022-08-12,45.77,45.77,39.57,45.77,16841756.0,38.172,,,,0.1990464214607565,,,,,,,,,0.0999759673155491,,,,,,,,0.6451952081494952,0.3316178528071094,0.3135773553423857,17457186.0,,,,,,-0.2554074721433254,0.0999759673155491,,,44.50608350738586,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.0044444444444444,-0.3080620493773214,-0.3176753331876776,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444
2022-08-15,42.1,43.59,41.19,41.19,11799285.0,40.158,,,,0.0256984909607052,,,,,,,,,-0.1000655451168889,0.3176583493282148,,,0.0894780685235372,,,,0.593578230802521,0.4026236799591313,0.1909545508433897,5657901.0,,,,,,-0.1740713765477056,-0.1000655451168889,,,-0.2994029244931466,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.0044345898004434,-0.18718135469774222,-0.23306627822286963,0.9933184855233853,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.004434589800443459,0.015521064301552107,0.0066518847006651885
2022-08-16,37.45,39.12,37.07,37.73,11194348.0,40.826,,,,-0.0758340273355215,,,,,,,,,-0.0840009711094926,0.0971212561791217,,,0.1053206541398319,,,,0.3935077514306329,0.4003166816394121,-0.0068089302087792,-5536447.0,,,,,,-0.0848131460376356,-0.0840009711094926,,,-0.0512689540086539,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.0310421286031042,-0.10946196660482366,-0.14285714285714268,0.9287305122494433,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.031042128603104215,0.07760532150776053,0.07538802660753881
2022-08-17,37.8,38.69,36.56,38.02,7896169.0,40.864,,,,-0.0695967110415035,,,,,,,,,0.0076861913596608,0.0050224689399949,,,0.0961731384710406,,,,0.2668196157547626,0.3682348262944504,-0.1014152105396877,2359722.0,,,,,,-0.1336138874276697,0.0076861913596608,,,-0.2946289502523952,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.0221729490022172,-0.11388742766964766,-0.18621778011572865,0.2182628062360802,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.022172949002217297,0.13082039911308205,0.06651884700665188
2022-08-18,38.06,38.06,35.9,36.22,7714711.0,39.786,,,,-0.0896295179208767,,,,,,,,,-0.047343503419253,-0.1295361691900985,,,0.0810898402116947,,,,0.0857261376558184,0.3029739176860949,-0.2172477800302764,-5354989.0,,,,,,-0.1167863059083379,-0.047343503419253,,,-0.0229805111820681,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.0550660792951541,-0.1410822749861954,-0.1628934290447266,0.0022222222222222222,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.05506607929515418,0.08370044052863436,0.12334801762114538
2022-08-19,35.85,35.89,33.98,34.08,6339232.0,37.44799999999999,37.81,,,-0.0899380474257636,-0.0986511504892886,,,,,,,,-0.0590833793484263,-0.2554074721433254,,,0.041426512337333,,,,-0.1542139312542616,0.2005372998052463,-0.3547512310595079,-11694221.0,,,,,,-0.0707159624413145,-0.0590833793484263,,,-0.1782930041060514,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.1098901098901098,-0.05721830985915477,-0.153169014084507,0.0022222222222222222,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.10989010989010989,0.3010989010989011,0.16923076923076924
