date,open,high,low,close,volume,ma5,ma10,ma20,ma60,ma5_ratio,ma10_ratio,ma20_ratio,ma60_ratio,bollinger_mid,bollinger_upper,bollinger_lower,bollinger_pct_b,bollinger_bandwidth,return_1d,return_5d,return_10d,return_20d,volatility_5d,volatility_10d,volatility_20d,rsi_14,macd,macd_signal,macd_histogram,obv,mfi_14,atr_14,volume_ratio_20d,price_position_20d,price_position_60d,future_return,return,volatility,rsi,volume_change,csi300_return_1d,csi300_return_5d,csi300_volatility_20d,market_breadth,open_norm,high_norm,low_norm,close_norm,volume_norm,ma5_norm,ma10_norm,ma20_norm,ma60_norm,ma5_ratio_norm,ma10_ratio_norm,ma20_ratio_norm,ma60_ratio_norm,bollinger_mid_norm,bollinger_upper_norm,bollinger_lower_norm,bollinger_pct_b_norm,bollinger_bandwidth_norm,return_1d_norm,return_5d_norm,return_10d_norm,return_20d_norm,volatility_5d_norm,volatility_10d_norm,volatility_20d_norm,rsi_14_norm,macd_norm,macd_signal_norm,macd_histogram_norm,obv_norm,mfi_14_norm,atr_14_norm,volume_ratio_20d_norm,price_position_20d_norm,price_position_60d_norm,return_norm,volatility_norm,rsi_norm,volume_change_norm,csi300_return_1d_norm,csi300_return_5d_norm,csi300_volatility_20d_norm,market_breadth_norm,sector,sector_momentum_5d,sector_momentum_20d,sector_breadth,sector_vol_flow,sector_relative_strength,future_return_rank,future_return_10d,future_return_20d,cs_rank_return_5d,cs_rank_return_20d,cs_rank_volatility,cs_rank_rsi,cs_rank_volume_ratio_20d,cs_rank_ma20_ratio,cs_rank_max_ret_5d,cs_rank_reversal_1d,cs_rank_amihud_illiq,cs_rank_idio_vol_20d,future_return_rank_5d,future_return_rank_10d,future_return_rank_20d
2022-05-31,4.3,4.5,4.01,4.19,71788874.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,0.3937947494033411,,,,,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,1.0,0.016706443914080937,-0.031026252983293756,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5217391304347826,0.17391304347826086
2022-06-01,3.99,4.09,3.88,3.99,43881302.0,,,,,,,,,,,,,,-0.0477326968973746,,,,,,,,-0.004487179487179,-0.0024928774928772,-0.0019943019943017,-43881302.0,,,,,,0.3182957393483707,-0.0477326968973746,,,-0.388745086042163,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,1.0,0.03007518796992481,0.012531328320801949,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.62,0.36
2022-06-02,3.91,4.39,3.87,4.39,25157536.0,,,,,,,,,,,,,,0.1002506265664158,,,,,,,,0.0066864187525697,0.0012691291650928,0.0054172895874768,-18723766.0,,,,,,0.1138952164009112,0.1002506265664158,,,-0.4266912134922523,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.9230769230769232,-0.06605922551252852,-0.09111617312072884,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9230769230769231,0.09615384615384616,0.09615384615384616
2022-06-06,4.57,4.83,4.44,4.83,121296986.0,,,,,,,,,,,,,,0.1002277904328019,,,,,,,,0.0274905555403197,0.010151726175671,0.0173388293646487,102573220.0,,,,,,-0.0496894409937889,0.1002277904328019,,,3.8214970655313776,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.1343283582089552,-0.1262939958592133,-0.18012422360248448,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.13432835820895522,0.05970149253731343,0.07462686567164178
2022-06-07,4.37,5.31,4.35,5.31,124320527.0,4.542,,,,0.1690885072655217,,,,,,,,,0.0993788819875776,,,,,,,,0.0573167715809512,0.0241822608631056,0.0331345107178456,226893747.0,,,,,,-0.1807909604519774,0.0993788819875776,,,0.0249267611645354,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.0428571428571428,-0.22787193973634656,-0.25988700564971745,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.04285714285714286,0.02857142857142857,0.04285714285714286
2022-06-08,5.2,5.84,4.78,5.84,199415684.0,4.872,,,,0.1986863711001643,,,,,,,,,0.0998116760828626,0.3937947494033411,,,0.0660320235641705,,,,0.0968321179049507,0.0438744113753587,0.0529577065295919,426309431.0,,,,,,-0.2705479452054794,0.0998116760828626,,,0.6040447125839483,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.0131578947368421,-0.30650684931506855,-0.33732876712328763,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.013157894736842105,0.013157894736842105,0.02631578947368421
2022-06-09,5.85,6.05,5.26,5.26,152286400.0,5.126,,,,0.0261412407335155,,,,,,,,,-0.0993150684931507,0.3182957393483707,,,0.0891001121775629,,,,0.0942308175571664,0.0566182743933005,0.0376125431638658,274023031.0,,,,,,-0.2186311787072242,-0.0993150684931507,,,-0.2363368971519812,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.0217391304347826,-0.20342205323193907,-0.24904942965779464,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.021739130434782608,0.03260869565217391,0.03260869565217391
2022-06-10,4.73,5.42,4.73,4.89,130655831.0,5.226,,,,-0.0642939150401837,,,,,,,,,-0.0703422053231939,0.1138952164009112,,,0.1016465250529533,,,,0.0733743303194769,0.0606450697300622,0.0127292605894146,143367200.0,,,,,,-0.1615541922290388,-0.0703422053231939,,,-0.142038744103216,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.0254237288135593,-0.16155419222903888,-0.2004089979550101,0.9019607843137255,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.025423728813559324,0.0423728813559322,0.05084745762711865
2022-06-13,4.68,4.79,4.41,4.59,92519880.0,5.177999999999999,,,,-0.1135573580533022,,,,,,,,,-0.0613496932515337,-0.0496894409937889,,,0.0977386433720813,,,,0.0429310913368059,0.05655305284172,-0.0136219615049141,50847320.0,,,,,,-0.0806100217864923,-0.0613496932515337,,,-0.2918809723846156,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.0544217687074829,-0.11328976034858373,-0.14814814814814814,0.12307692307692308,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.05442176870748299,0.03854875283446712,0.049886621315192746
2022-06-14,4.49,4.49,4.28,4.35,69963054.0,4.986,4.764,,,-0.1275571600481347,-0.0869017632241815,,,,,,,,-0.0522875816993464,-0.1807909604519774,,,0.0783237871120929,,,,0.008348633169251,0.0457524645723652,-0.0374038314031142,-19115734.0,,,,,,-0.0574712643678161,-0.0522875816993464,,,-0.2438051800326589,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.1133786848072562,-0.0482758620689655,-0.11034482758620678,0.028985507246376812,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.11337868480725624,0.12471655328798185,0.10430839002267574
